,Flag,Company,Ticker,Unnamed: 3,Activist_Group,Start_Date,Hostility_End_Date,Start_Year,Start_Month,Start_Day,Stake_End_Date,Objectives,Hp_Return,Market_Cap_At_Start,Stake_At_Start,Start_Link,News_Search,Start_Date_And_Time,Current_Ticker,First_Affected_Date,Hostility_End_Date.1,End_Year,End_Month,End_Day,Sector,Industry_Name,Outcome,Region_Exchange,Country_Exchange,Country_Incorporation,State_Incorporation,Proxy_Fight_Boolean,Campaign_Status,Activist_Tier,Stake_Value_At_Start,One_Day_Return,One_Year_Return,Follower_Return,Annualized_Hp_Return
944,225134646,Anaren Inc,ANEN US,#N/A Review,Vintage Capital Management LLC,3/10/2011,11/4/2013,2016,9,12,18/02/2014 0:00,1: Acquire Company,44.67425,290303100.0,9.9,DOCV /ID 0001193125-11-262815,NI COMPANY:ANEN@US 'Vintage',Start: 2011-10-03. UTC: 2011-10-03T21:17:10.000Z,ANEN US Equity,04/10/2011 0:00,11/4/2013,2013.0,4.0,11.0,Industrials,Aerospace & Defense,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,NY,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,28740006.9,6.876939,4.653568,35.36526,16.800748
951,225134646,American Pacific Corp,AMERICAN PACIFIC,#N/A Invalid Security,Mill Road Capital Management LLC,19/09/2011 0:00,,2016,9,19,26/02/2014 0:00,Stake Only 13D: No Public Activism,563.8571,52917200.0,7.3,DOCV /ID 0001193125-11-251462,NI COMPANY:APFC@US 'Mill Road',Start: 2011-09-19. UTC: 2011-09-19T21:19:53.000Z,APFC US Equity,20/09/2011 0:00,,,,,Materials,Chemicals,Not Applicable,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,3862955.6,0.142857,72.85714,562.910156,117.341648
954,225134646,MRV Communications Inc,7742524Z IT,#N/A Field Not Applicable,TAR Holdings LLC and Lloyd I Miller,8/9/2011,3/19/2013,2016,9,23,11/02/2016 0:00,1: Return Capital/Buybacks,-1.803474,214161800.0,5.3,DOCV /ID 0000950123-11-083481,NI COMPANY:MRVC@US 'TAR',Start: 2011-09-08. UTC: 2011-09-08T21:00:19.000Z,MRVC US Equity,09/09/2011 0:00,3/19/2013,2013.0,19.0,3.0,Technology,Technology Hardware,Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,11350575.4,0.0,-11.11046,-1.803474,-0.410218
967,225134646,Regis Corp,REGIS,#N/A Invalid Security,Starboard Value LP,16/08/2011 0:00,10/27/2011,2016,10,27,17/07/2014 0:00,4: Cost Cutting; Break Up; Board Representation; Strategic Review,2.060653,794898700.0,4.4,NSN LQ0W7C3TCF0G,NI COMPANY:RGS@US 'Starboard',Start: 2011-08-16. UTC: 2011-08-16T13:30:48.548Z,RGS US Equity,16/08/2011 0:00,10/27/2011,2011.0,27.0,10.0,Consumer Discretionary,Consumer Services,Success,North America,United States,UNITED STATES OF AMERICA,MN,Proxy Fight,Closed - Activist Stake Sold,Core Activist,34975542.8,6.686047,25.57575,-4.335519,0.700844
969,225134646,STR Holdings Inc,PDD US,#N/A Review,Red Mountain Capital Partners LLC,15/08/2011 0:00,2/24/2012,2016,11,4,24/01/2014 0:00,1: Board Representation,-87.00173,479094600.0,6.3,DOCV /ID 0001193125-11-223147,NI COMPANY:STRI@US 'Red Mountain',Start: 2011-08-15. UTC: 2011-08-15T20:12:02.000Z,STRI US Equity,16/08/2011 0:00,2/24/2012,2012.0,24.0,2.0,Technology,Semiconductors,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Former Core,30182959.8,5.459272,-70.71057,-87.67461,-56.608134
979,225134646,MRV Communications Inc,7742524Z IT,#N/A Field Not Applicable,Raging Capital Management LLC and Kenneth H Traub,21/07/2011 0:00,8/14/2017,2016,11,18,14/08/2017 0:00,4: Return Capital/Buybacks; Break Up; Other (a smaller and more focused Board); Board Representation,-15.95793,233024700.0,5.02,DOCV /ID 0000921895-11-001467,NI COMPANY:MRVC@US 'Raging',Start: 2011-07-21. UTC: 2011-07-21T21:22:54.000Z,MRVC US Equity,22/07/2011 0:00,8/14/2017,2017.0,14.0,8.0,Technology,Technology Hardware,Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Former Core,11697839.94,0.0,-1.981262,-15.95793,-2.824194
1000,225134646,Aviragen Therapeutics Inc,VXRT US,#N/A Review,East Hill Management Co LLC (Group: Star Equity Fund LP and East Hill Management Co LLC),29/12/2017 0:00,9/2/2018,2017,1,3,13/02/2018 0:00,4: Board Representation; Oppose Merger (Target); Compensation Changes; Board Control,45.24104,21887100.0,8.3,DOCV /ID 0000921895-17-002976,NI COMPANY:VXRT@US 'East Hill',Start: 2017-12-29. UTC: 2017-12-29T21:44:44.000Z,VXRT US Equity,02/01/2018 0:00,9/2/2018,2018.0,2.0,9.0,Health Care,Biotech & Pharma,Partial Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,1816629.3,-5.173936,-68.21476,53.16574,45.24104
1001,225134646,Aviragen Therapeutics Inc,VXRT US,#N/A Review,Star Equity Fund LP (Group: Star Equity Fund LP and East Hill Management Co LLC),29/12/2017 0:00,9/2/2018,2017,1,5,13/02/2018 0:00,4: Board Representation; Oppose Merger (Target); Compensation Changes; Board Control,45.24104,21887100.0,8.3,DOCV /ID 0000921895-17-002976,NI COMPANY:VXRT@US 'Star Equity',Start: 2017-12-29. UTC: 2017-12-29T21:44:44.000Z,VXRT US Equity,02/01/2018 0:00,9/2/2018,2018.0,2.0,9.0,Health Care,Biotech & Pharma,Partial Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Core Activist,1816629.3,-5.173936,-68.21476,53.16574,45.24104
1002,225134646,Qumu Corp,QUMU,#N/A Invalid Security,Palogic Value Management LP,29/12/2017 0:00,29/12/2018 0:00,2017,1,6,15/11/2019 0:00,Discussions only,5.485232,22254900.0,9.9,DOCV /ID 0001193125-17-383513,NI COMPANY:QUMU@US 'Palogic Value',Start: 2017-12-29. UTC: 2017-12-29T21:10:48.000Z,QUMU US Equity,02/01/2018 0:00,29/12/2018 0:00,2018.0,12.0,29.0,Technology,Software,Not Applicable,North America,United States,UNITED STATES OF AMERICA,MN,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,2203235.1,-2.953587,-10.12658,8.695652,2.899191
1008,225134646,Cars.com Inc,CARS US,CARS,Starboard Value LP,18/12/2017 0:00,7/8/2019,2017,1,17,07/08/2019 0:00,5: Board Representation; Strategic Review; Sale of Company; Other (Generate Approximately $4 per Share of Adjusted Free Cash Flow); Management Changes,-64.57512,1997638300.0,9.9,DOCV /ID 0000921895-17-002879,NI COMPANY:CARS@US 'Starboard',Start: 2017-12-18. UTC: 2017-12-18T22:27:48.000Z,CARS US Equity,19/12/2017 0:00,7/8/2019,2019.0,8.0,7.0,Communications,Internet Media & Services,Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Core Activist,197766191.7,4.804589,-19.57691,-66.19911,-47.034973
1009,225134646,Penn Virginia Corp,PENN VIRGINIA,#N/A Invalid Security,Contrarian Capital Management LLC,18/12/2017 0:00,5/4/2019,2017,1,17,12/02/2020 0:00,1: Oppose Merger (Target),-48.83721,535502400.0,7.5,DOCV /ID 0000902664-17-004612,NI COMPANY:ROCC@US 'Contrarian',Start: 2017-12-18. UTC: 2017-12-18T22:07:59.000Z,ROCC US Equity,19/12/2017 0:00,5/4/2019,2019.0,4.0,5.0,Energy,Oil & Gas Producers,Success,North America,United States,UNITED STATES OF AMERICA,VA,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,40162680.0,5.715887,51.52704,-51.6035,-26.772707
1016,225134646,Babcock & Wilcox Enterprises Inc,BW US,BW,Vintage Capital Management LLC,12/12/2017,3/1/2018,2017,1,24,26/03/2021 0:00,2: Board Representation; Management Changes,-64.63994,214959700.0,14.9,DOCV /ID 0001144204-17-063379,NI COMPANY:BW@US 'Vintage',Start: 2017-12-12. UTC: 2017-12-12T22:20:32.000Z,BW US Equity,13/12/2017 0:00,3/1/2018,2018.0,1.0,3.0,Industrials,Electrical Equipment,Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,32028995.3,1.844262,-68.75907,-65.28027,-27.128423
1022,225134646,Rubicon Technology Inc,RBCN US,#N/A Field Not Applicable,Sententia Capital Management LLC,4/12/2017,5/12/2018,2017,1,30,05/07/2022 0:00,1: Board Representation,82.42424,22544600.0,5.24,DOCV /ID 0001376474-17-000334,NI COMPANY:RBCN@US 'Sententia',Start: 2017-12-04. UTC: 2017-12-04T20:54:38.000Z,RBCN US Equity,04/12/2017 0:00,5/12/2018,2018.0,12.0,5.0,Technology,Semiconductors,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,1181337.04,0.727273,6.787879,81.1071,14.005709
1027,225134646,SandRidge Energy Inc,SD US,SD,Icahn Enterprises LP,22/11/2017 0:00,19/06/2018 0:00,2017,2,3,,8: Oppose Acquisition; Remove Director/Withhold Votes; Remove Poison Pill; Board Representation; Board Control; Sale of Company; Acquire Company; Strategic Review,-5.710882,624153400.0,13.51,DOCV /ID 0000813762-17-000048,NI COMPANY:SD@US 'Icahn',Start: 2017-11-22. UTC: 2017-11-22T21:31:09.000Z,SD US Equity,24/11/2017 0:00,19/06/2018 0:00,2018.0,6.0,19.0,Energy,Oil & Gas Producers,Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,"Open - Stake Open, Hostilities Ended",Core Activist,84323124.34,8.0,-45.2,-12.69526,-0.937788
1034,225134646,SandRidge Energy Inc,SD US,SD,Fir Tree Capital Management LP,20/11/2017 0:00,18/12/2017 0:00,2017,2,9,07/05/2018 0:00,1: Oppose Acquisition,-12.31141,590984100.0,8.19,NSN OZPW473MSFLV,NI COMPANY:SD@US 'Fir Tree',Start: 2017-11-20. UTC: 2017-11-20T13:00:07.693Z,SD US Equity,20/11/2017 0:00,18/12/2017 0:00,2017.0,12.0,18.0,Energy,Oil & Gas Producers,Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,48401597.79,-1.629451,-42.60712,-10.8589,-12.31141
1039,225134646,Rubicon Technology Inc,RBCN US,#N/A Field Not Applicable,Bandera Partners LLC,16/11/2017 0:00,,2017,2,17,13/12/2022 0:00,Stake Only 13D: 1 Board Seat Granted,-9.953878,21724800.0,9.5,DOCV /ID 0001213900-17-012226,NI COMPANY:RBCN@US 'Bandera',Start: 2017-11-16. UTC: 2017-11-16T21:09:05.000Z,RBCN US Equity,17/11/2017 0:00,,,,,Technology,Semiconductors,Not Applicable,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,2063856.0,1.532076,-3.010063,-11.31264,-2.045189
1041,225134646,Potbelly Corp,POTBELLY,#N/A Invalid Security,Privet Fund Management LLC,16/11/2017 0:00,13/04/2018 0:00,2017,2,21,06/12/2019 0:00,2: Management Changes; Board Representation,-63.38983,292690300.0,5.2,DOCV /ID 0001013594-17-000781,NI COMPANY:PBPB@US 'Privet',Start: 2017-11-16. UTC: 2017-11-16T13:29:36.000Z,PBPB US Equity,16/11/2017 0:00,13/04/2018 0:00,2018.0,4.0,13.0,Consumer Discretionary,Leisure Facilities & Services,Success,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Former Core,15219895.6,1.694915,-10.08475,-64.0,-38.677547
1047,225134646,Hill International Inc,HIL US,HIL,Engine Capital Management LLC,6/11/2017,8/3/2018,2017,2,21,10/11/2022 0:00,Discussions only,-36.60378,274954500.0,7.4,DOCV /ID 0000921895-17-002552,NI COMPANY:HIL@US 'Engine Capital',Start: 2017-11-06. UTC: 2017-11-06T22:30:49.000Z,HIL US Equity,07/11/2017 0:00,8/3/2018,2018.0,3.0,8.0,Industrials,Commercial Support Services,Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Core Activist,20346633.0,-0.943396,-39.43396,-36.0,-8.694014
1053,225134646,Potbelly Corp,POTBELLY,#N/A Invalid Security,GrizzlyRock Capital LLC and Vivaldi Asset Management LLC,26/10/2017 0:00,26/10/2018 0:00,2017,3,6,01/03/2019 0:00,1: Other (Disclose material steps undertaken by J.P Morgan),-28.41667,301505800.0,5.3,DOCV /ID 0000897069-17-000529,NI COMPANY:PBPB@US 'GrizzlyRock',Start: 2017-10-26. UTC: 2017-10-26T20:51:11.000Z,PBPB US Equity,27/10/2017 0:00,26/10/2018 0:00,2018.0,10.0,26.0,Consumer Discretionary,Leisure Facilities & Services,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,15979807.4,2.5,-5.416667,-30.1626,-22.043976
1059,225134646,Ocean Rig UDW Inc,ORIG US,ORIG,"BlueMountain Capital Management LLC (Group: Elliott Investment Management LP, BlueMountain Capital Management LLC, and Avenue Capital Management II LP)",16/10/2017 0:00,4/12/2018,2017,3,9,04/12/2018 0:00,2: Sale of Company; Strategic Review,6.111536,2373493900.0,39.0,DOCV /ID 0000902664-17-003873,NI COMPANY:ORIG@US 'BlueMountain',Start: 2017-10-16. UTC: 2017-10-02T21:02:09.000Z,ORIG US Equity,17/10/2017 0:00,4/12/2018,2018.0,12.0,4.0,Energy,Oil & Gas Services & Equip,Success,North America,United States,CAYMAN ISLANDS,,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,925662621.0,2.826585,25.59205,3.194651,5.382477
1062,225134646,Babcock & Wilcox Enterprises Inc,BW US,BW,Viex Capital Advisors LLC,11/10/2017,14/03/2018 0:00,2017,3,10,14/03/2018 0:00,3: Cost Cutting; Break Up; Board Representation,129.0089,193077500.0,6.4,DOCV /ID 0000921895-17-002397,NI COMPANY:BW@US 'Viex',Start: 2017-10-11. UTC: 2017-10-11T20:36:39.000Z,BW US Equity,12/10/2017 0:00,14/03/2018 0:00,2018.0,3.0,14.0,Industrials,Electrical Equipment,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Former Core,12356960.0,4.810127,-44.14416,118.4989,129.0089
1065,225134646,Monotype Imaging Holdings Inc,TYPE TL B 1L USD,TYPE,Radoff Family Foundation/The (Group: Starboard Value LP and Radoff Family Foundation/The),6/10/2017,21/02/2018 0:00,2017,3,13,21/02/2018 0:00,1: Board Representation,27.2106,838511700.0,9.0,DOCV /ID 0000921895-17-002384,NI COMPANY:TYPE@US 'Radoff',Start: 2017-10-06. UTC: 2017-10-06T21:26:20.000Z,TYPE US Equity,09/10/2017 0:00,21/02/2018 0:00,2018.0,2.0,21.0,Technology,Software,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Core Activist,75466053.0,8.457711,0.572904,17.2905,27.2106
1066,225134646,Monotype Imaging Holdings Inc,TYPE TL B 1L USD,TYPE,Starboard Value LP (Group: Starboard Value LP and Radoff Family Foundation/The),6/10/2017,21/02/2018 0:00,2017,3,13,21/02/2018 0:00,1: Board Representation,27.2106,838511700.0,9.0,DOCV /ID 0000921895-17-002384,NI COMPANY:TYPE@US 'Starboard',Start: 2017-10-06. UTC: 2017-10-06T21:26:20.000Z,TYPE US Equity,09/10/2017 0:00,21/02/2018 0:00,2018.0,2.0,21.0,Technology,Software,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,Proxy Fight,Closed - Activist Stake Sold,Core Activist,75466053.0,8.457711,0.572904,17.2905,27.2106
1068,225134646,Ocean Rig UDW Inc,ORIG US,ORIG,"Elliott Investment Management LP (Group: Elliott Investment Management LP, BlueMountain Capital Management LLC, and Avenue Capital Management II LP)",2/10/2017,4/12/2018,2017,3,13,04/12/2018 0:00,2: Sale of Company; Strategic Review,18.26309,2129617000.0,20.4,DOCV /ID 0000902664-17-003873,NI COMPANY:ORIG@US 'Elliott',Start: 2017-10-02. UTC: 2017-10-02T21:02:09.000Z,ORIG US Equity,03/10/2017 0:00,4/12/2018,2018.0,12.0,4.0,Energy,Oil & Gas Services & Equip,Success,North America,United States,CAYMAN ISLANDS,,No Proxy Fight,Closed - Activist Stake Sold,Core Activist,434441868.0,1.191997,48.44615,16.87,15.417479
1069,225134646,Bazaarvoice Inc,1624250D US,BV,Viex Capital Advisors LLC,2/10/2017,,2017,3,16,31/01/2018 0:00,Stake Only: 1 Board Seat Granted,10.0,429444900.0,3.7,DOCV /ID 0001330421-17-000044,NI COMPANY:1624250D@US 'Viex',Start: 2017-10-02. UTC: 2017-10-02T20:04:29.000Z,1624250D US Equity,03/10/2017 0:00,,,,,Technology,Software,Not Applicable,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Former Core,15889461.3,-1.0,10.0,11.11111,10.0
1080,225134646,Jones Energy Inc,0850364D US,JONE,Fir Tree Capital Management LP,18/09/2017 0:00,29/11/2018 0:00,2017,3,24,29/11/2018 0:00,3: Strategic Review; Sale of Company; Break Up,-96.71329,140238100.0,7.16,DOCV /ID 0000902664-17-003654,NI COMPANY:JONEQ@US 'Fir Tree',Start: 2017-09-18. UTC: 2017-09-18T20:37:01.000Z,JONEQ US Equity,19/09/2017 0:00,29/11/2018 0:00,2018.0,11.0,29.0,Energy,Oil & Gas Producers,Partial Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,7612533.48,16.08392,-82.58741,-97.16868,-94.268109
1084,225134646,Jones Energy Inc,0850364D US,JONE,Q Investments Ltd,14/09/2017 0:00,6/2/2018,2017,3,28,17/05/2019 0:00,3: Strategic Review; Sale of Company; Board Representation,-99.70901,119643700.0,9.52,DOCV /ID 0001469589-17-000003,NI COMPANY:JONEQ@US 'Q Investments',Start: 2017-09-14. UTC: 2017-09-14T12:41:47.000Z,JONEQ US Equity,14/09/2017 0:00,6/2/2018,2018.0,2.0,6.0,Energy,Oil & Gas Producers,Success,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,8635287.36,6.557377,-82.70492,-99.72692,-96.962723
1085,225134646,Procter & Gamble Co/The,PG US,PG,Yacktman Asset Management LP/TX,14/09/2017 0:00,14/09/2018 0:00,2017,3,28,23/10/2020 0:00,1: Support 3rd Party Activist,67.31441,239000000000.0,0.61,NSN OW9QO13MSFLS,NI COMPANY:PG@US 'Yacktman',Start: 2017-09-14. UTC: 2017-09-14T12:00:01.539Z,PG US Equity,14/09/2017 0:00,14/09/2018 0:00,2018.0,9.0,14.0,Consumer Staples,Household Products,Success,North America,United States,UNITED STATES OF AMERICA,OH,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,1455178370.0,0.0,-7.561087,67.31441,18.00086
1086,225134646,EQT Corp,EQT,#N/A Invalid Security,DE Shaw & Co LP,14/09/2017 0:00,10/7/2019,2017,3,28,14/02/2020 0:00,9: Other (Restructure Midstream Businesses); Strategic Review; Return Capital/Buybacks; Support Management; Board Representation; Break Up; Oppose Acquisition; Management Changes; Support 3rd Party Activist,-84.3255,10938667000.0,4.0,NSN OW9L40MEQTXH,NI COMPANY:EQT@US 'DE Shaw',Start: 2017-09-14. UTC: 2017-09-14T10:00:00.159Z,EQT US Equity,14/09/2017 0:00,10/7/2019,2019.0,7.0,10.0,Energy,Oil & Gas Producers,Success,North America,United States,UNITED STATES OF AMERICA,PA,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,437546680.0,2.788781,-24.48419,-84.75077,-53.513974
1087,225134646,Penn Virginia Corp,PENN VIRGINIA,#N/A Invalid Security,Strategic Value Partners LLC,13/09/2017 0:00,19/01/2018 0:00,2017,3,28,07/05/2020 0:00,1: Board Representation,-85.7037,607176700.0,10.0,DOCV /ID 0001104659-17-056973,NI COMPANY:ROCC@US 'Strategic',Start: 2017-09-13. UTC: 2017-09-13T20:41:30.000Z,ROCC US Equity,14/09/2017 0:00,19/01/2018 0:00,2018.0,1.0,19.0,Energy,Oil & Gas Producers,Success,North America,United States,UNITED STATES OF AMERICA,VA,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,60717670.0,-0.716049,84.39507,-85.60059,-52.048304
1093,225134646,Penn Virginia Corp,PENN VIRGINIA,#N/A Invalid Security,Mangrove Partners,1/9/2017,15/04/2019 0:00,2017,3,28,10/06/2020 0:00,4: Board Representation; Sale of Company; Strategic Review; Oppose Merger (Target),-67.38622,576443100.0,9.4,DOCV /ID 0001013594-17-000661,NI COMPANY:ROCC@US 'Mangrove',Start: 2017-09-01. UTC: 2017-09-01T20:03:28.000Z,ROCC US Equity,05/09/2017 0:00,15/04/2019 0:00,2019.0,4.0,15.0,Energy,Oil & Gas Producers,Success,North America,United States,UNITED STATES OF AMERICA,VA,Proxy Fight,Closed - Activist Stake Sold,Former Core,54185651.4,1.872562,107.2042,-67.9857,-33.323064
1099,225134646,Cars.com Inc,CARS US,CARS,Catalus Capital Management LLC,25/08/2017 0:00,,2017,4,3,08/03/2018 0:00,Stake Only 13D: No Public Activism,21.8595,1732457100.0,6.0,DOCV /ID 0001104659-17-053651,NI COMPANY:CARS@US 'Catalus',Start: 2017-08-25. UTC: 2017-08-25T18:56:22.000Z,CARS US Equity,25/08/2017 0:00,,,,,Communications,Internet Media & Services,Not Applicable,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,103947426.0,4.710744,9.876033,16.37727,21.8595
1103,225134646,Community Health Systems Inc,CYH US,CYH,ASL Capital Partners LLC,21/08/2017 0:00,21/08/2018 0:00,2017,4,10,21/08/2018 0:00,3: Management Changes; Compensation Changes; Break Up,-50.64011,806753500.0,,NSN OV1K7CMEWG74,NI COMPANY:CYH@US 'ASL Capital',Start: 2017-08-21. UTC: 2017-08-21T15:26:00.155Z,CYH US Equity,21/08/2017 0:00,21/08/2018 0:00,2018.0,8.0,21.0,Health Care,Health Care Facilities & Svcs,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,,8.677098,-50.64011,-54.58115,-50.64011
1104,225134646,Energen Corp,ENERGEN,#N/A Invalid Security,Elliott Investment Management LP,17/08/2017 0:00,29/11/2018 0:00,2017,4,11,29/11/2018 0:00,2: Sale of Company; Strategic Review,50.0,4673240200.0,5.0,NSN OUU5WC6JTSE8,NI COMPANY:EGN@US 'Elliott',Start: 2017-08-17. UTC: 2017-08-17T15:33:48.333Z,EGN US Equity,17/08/2017 0:00,29/11/2018 0:00,2018.0,11.0,29.0,Energy,Oil & Gas Producers,Success,North America,United States,UNITED STATES OF AMERICA,AL,No Proxy Fight,Closed - Activist Stake Sold,Core Activist,233662010.0,2.287853,59.56739,46.64498,37.101847
1114,225134646,ONE Group Hospitality Inc/The,STKS US,STKS,Anson Funds Management LP,4/8/2017,2/3/2018,2017,4,26,15/02/2019 0:00,1: Board Representation,53.33333,49021100.0,9.99,DOCV /ID 0001615774-17-004084,NI COMPANY:STKS@US 'Anson',Start: 2017-08-04. UTC: 2017-08-04T21:14:06.000Z,STKS US Equity,07/08/2017 0:00,2/3/2018,2018.0,3.0,2.0,Consumer Discretionary,Leisure Facilities & Services,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,4897207.89,-0.512821,46.15385,54.12371,32.326536
1124,225134646,Wheeler Real Estate Investment Trust Inc,WHLR US,#N/A Field Not Applicable,NS Advisors LLC,21/07/2017 0:00,16/04/2018 0:00,2017,5,3,10/12/2019 0:00,7: Strategic Review; Sale of Company; Realize NAV; Liquidation; Other (Appoint a committee of independent directors); Break Up; Return Capital/Buybacks,-81.46248,94941300.0,5.4,DOCV /ID 0000897069-17-000408,NI COMPANY:WHLR@US 'NS Advisors',Start: 2017-07-21. UTC: 2017-07-21T18:34:25.000Z,WHLR US Equity,21/07/2017 0:00,16/04/2018 0:00,2018.0,4.0,16.0,Real Estate,REIT,Success,North America,United States,UNITED STATES OF AMERICA,MD,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,5126830.2,0.181653,-55.29753,-81.496094,-50.611876
1131,225134646,Sabra Health Care REIT Inc,SBRA US,SBRA,Hudson Bay Capital Management LP,13/07/2017 0:00,15/08/2017 0:00,2017,5,8,15/08/2017 0:00,1: Oppose Acquisition,-6.396867,1503440400.0,3.2,NSN OT15H36JTSE8,NI COMPANY:SBRA@US 'Hudson Bay',Start: 2017-07-13. UTC: 2017-07-13T13:00:39.077Z,SBRA US Equity,13/07/2017 0:00,15/08/2017 0:00,2017.0,8.0,15.0,Real Estate,REIT,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,MD,No Proxy Fight,Closed - Activist Stake Sold,Occasional Activist,48110092.8,0.435161,7.799958,-6.802426,-6.396867
1132,225134646,Rent-A-Center Inc/TX,UPBD TL B 1L USD,UPBD,Vintage Capital Management LLC,10/7/2017,20/03/2019 0:00,2017,5,9,20/03/2019 0:00,1: Acquire Company,72.16216,590485000.0,5.9,NSN OSW9NN6VDKHT,NI COMPANY:UPBD@US 'Vintage',Start: 2017-07-10. UTC: 2017-07-10T21:42:59.470Z,UPBD US Equity,11/07/2017 0:00,20/03/2019 0:00,2019.0,3.0,20.0,Consumer Discretionary,Consumer Services,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,DE,No Proxy Fight,Closed - Activist Stake Sold,Secondary Focus,34838615.0,8.918919,33.42342,58.06452,37.903144
1136,225134646,Wheeler Real Estate Investment Trust Inc,WHLR US,#N/A Field Not Applicable,Stilwell Value LLC,3/7/2017,26/12/2019 0:00,2017,5,12,,2: Board Representation; Management Changes,-99.81213,83989900.0,8.2,DOCV /ID 0001144204-17-035478,NI COMPANY:WHLR@US 'Stilwell',Start: 2017-07-03. UTC: 2017-07-03T21:01:26.000Z,WHLR US Equity,05/07/2017 0:00,26/12/2019 0:00,2019.0,12.0,26.0,Real Estate,REIT,Success,North America,United States,UNITED STATES OF AMERICA,MD,Proxy Fight,"Open - Stake Open, Hostilities Ended",Core Activist,6887171.8,3.49076,-54.70744,-99.81847,-61.200547
1137,225134646,EQT Corp,EQT,#N/A Invalid Security,JANA Partners LLC,3/7/2017,14/11/2017 0:00,2017,5,15,14/11/2017 0:00,3: Oppose Acquisition; Break Up; Board Representation,3.527201,10182984500.0,5.8,DOCV /ID 0000902664-17-002781,NI COMPANY:EQT@US 'JANA',Start: 2017-07-03. UTC: 2017-07-03T13:45:56.000Z,EQT US Equity,03/07/2017 0:00,14/11/2017 0:00,2017.0,11.0,14.0,Energy,Oil & Gas Producers,Unsuccessful,North America,United States,UNITED STATES OF AMERICA,PA,Proxy Fight,Closed - Activist Stake Sold,Core Activist,590613101.0,1.97986,-6.780776,1.5173,3.527201
